nome_mun,cod_mun_completo,cod_mun_ibge
Angra dos Reis,3300100,330010
Aperibé,3300159,330015
Araruama,3300209,330020
Areal,3300225,330022
Armação dos Búzios,3300233,330023
Arraial do Cabo,3300258,330025
Barra do Piraí,3300308,330030
Barra Mansa,3300407,330040
Belford Roxo,3300456,330045
Bom Jardim,3300506,330050
Bom Jesus do Itabapoana,3300605,330060
Cabo Frio,3300704,330070
Cachoeiras de Macacu,3300803,330080
Cambuci,3300902,330090
Campos dos Goytacazes,3301009,330100
Cantagalo,3301108,330110
Carapebus,3300936,330093
Cardoso Moreira,3301157,330115
Carmo,3301207,330120
Casimiro de Abreu,3301306,330130
Comendador Levy Gasparian,3300951,330095
Conceição de Macabu,3301405,330140
Cordeiro,3301504,330150
Duas Barras,3301603,330160
Duque de Caxias,3301702,330170
Engenheiro Paulo de Frontin,3301801,330180
Guapimirim,3301850,330185
Iguaba Grande,3301876,330187
Itaboraí,3301900,330190
Itaguaí,3302007,330200
Italva,3302056,330205
Itaocara,3302106,330210
Itaperuna,3302205,330220
Itatiaia,3302254,330225
Japeri,3302270,330227
Laje do Muriaé,3302304,330230
Macaé,3302403,330240
Macuco,3302452,330245
Magé,3302502,330250
Mangaratiba,3302601,330260
Maricá,3302700,330270
Mendes,3302809,330280
Mesquita,3302858,330285
Miguel Pereira,3302908,330290
Miracema,3303005,330300
Natividade,3303104,330310
Nilópolis,3303203,330320
Niterói,3303302,330330
Nova Friburgo,3303401,330340
Nova Iguaçu,3303500,330350
Paracambi,3303609,330360
Paraíba do Sul,3303708,330370
Paraty,3303807,330380
Paty do Alferes,3303856,330385
Petrópolis,3303906,330390
Pinheiral,3303955,330395
Piraí,3304003,330400
Porciúncula,3304102,330410
Porto Real,3304110,330411
Quatis,3304128,330412
Queimados,3304144,330414
Quissamã,3304151,330415
Resende,3304201,330420
Rio Bonito,3304300,330430
Rio Claro,3304409,330440
Rio das Flores,3304508,330450
Rio das Ostras,3304524,330452
Rio de Janeiro,3304557,330455
Santa Maria Madalena,3304607,330460
Santo Antônio de Pádua,3304706,330470
São Fidélis,3304805,330480
São Francisco de Itabapoana,3304755,330475
São Gonçalo,3304904,330490
São João da Barra,3305000,330500
São João de Meriti,3305109,330510
São José de Ubá,3305133,330513
São José do Vale do Rio Preto,3305158,330515
São Pedro da Aldeia,3305208,330520
São Sebastião do Alto,3305307,330530
Sapucaia,3305406,330540
Saquarema,3305505,330550
Seropédica,3305554,330555
Silva Jardim,3305604,330560
Sumidouro,3305703,330570
Tanguá,3305752,330575
Teresópolis,3305802,330580
Trajano de Moraes,3305901,330590
Três Rios,3306008,330600
Valença,3306107,330610
Varre-Sai,3306156,330615
Vassouras,3306206,330620
Volta Redonda,3306305,330630
